,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,wine_type
13168,Prosecco Z Extra Dry N.V.,Italy,Prosecco,Zardetto,3.5,759,12.25,N.V.,espumoso
13169,White Label Champagne N.V.,France,Champagne,Lanson,3.9,761,39.9,N.V.,espumoso
13170,Riesling Brut 2015,Germany,Pfalz,Reichsrat von Buhl,3.8,763,14.9,2015,espumoso
13171,Cecilia B Spumante Rosé N.V.,Italy,Vino d'Italia,Cecilia Beretta,4.0,764,9.59,N.V.,espumoso
13172,Crémant d'Alsace Brut Prestige N.V.,France,Crémant d'Alsace,Arthur Metz,3.7,777,12.19,N.V.,espumoso
13173,Dégorgement Tardif Millesimé Extra Brut Champagne N.V.,France,Champagne,Jacquesson,4.4,783,189.0,N.V.,espumoso
13174,Pink Spago Argento N.V.,Italy,Veneto,Riondo,3.5,785,6.95,N.V.,espumoso
13175,Blanc de Noirs Brut Champagne N.V.,France,Champagne,Veuve A. Devaux,3.8,801,35.5,N.V.,espumoso
13176,Crémant d'Alsace Brut N.V.,France,Crémant d'Alsace,Bestheim,3.5,805,13.49,N.V.,espumoso
13177,Leonia Brut Millesimato Pomino N.V.,Italy,Pomino,Castello Pomino,3.9,805,32.96,N.V.,espumoso
13178,Brut Rosé Champagne Premier Cru N.V.,France,Champagne Premier Cru,Marc Hébrart,4.0,806,32.5,N.V.,espumoso
13179,Pierre Jourdan Belle Rosé N.V.,South Africa,Franschhoek,Haute Cabrière,3.6,806,16.9,N.V.,espumoso
13180,Brut N.V.,France,Loire Valley,Marquis de la Tour,3.7,816,8.25,N.V.,espumoso
13181,Cuvèe de Réserve Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Marc Hébrart,4.0,820,29.5,N.V.,espumoso
13182,Prosecco Extra Dry N.V.,Italy,Prosecco,Fili,3.7,824,11.08,N.V.,espumoso
13183,La Grande Dame Brut Champagne 2008,France,Champagne,Veuve Clicquot,4.4,833,142.99,2008,espumoso
13184,Reserve Brut N.V.,Germany,Pfalz,Reichsrat von Buhl,3.9,838,16.7,N.V.,espumoso
13185,Cava Brut N.V.,Spain,Cava,Grans Moments,3.5,850,9.58,N.V.,espumoso
13186,Amatista Moscato N.V.,Spain,Valencia,Reymos,3.9,855,4.89,N.V.,espumoso
13187,Prosecco Valdobbiadene Superiore Brut Oro Puro N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Valdo,3.5,856,8.93,N.V.,espumoso
13188,Première Cuvée Rosé Brut Champagne N.V.,France,Champagne,Bruno Paillard,4.0,857,49.95,N.V.,espumoso
13189,Rosé Dry-Sec N.V.,Germany,German Wine,Henkell,3.4,857,7.89,N.V.,espumoso
13190,Il Fresco Rosé N.V.,Italy,Veneto,Villa Sandi,3.6,861,8.6,N.V.,espumoso
13191,Prosecco Treviso Brut N.V.,Italy,Prosecco di Treviso,Le Contesse,3.8,863,9.25,N.V.,espumoso
13192,Prosecco Extra Dry Collezione N.V.,Italy,Prosecco,Riondo,3.7,881,6.99,N.V.,espumoso
13193,Franciacorta Cuvée Blanc de Blancs Brut N.V.,Italy,Franciacorta,Monogram,3.7,894,18.75,N.V.,espumoso
13194,1851 Brut N.V.,France,Saumur,Bouvet-Ladubay,3.6,894,10.5,N.V.,espumoso
13195,Riesling Brut 2016,Germany,Pfalz,Reichsrat von Buhl,3.9,897,14.9,2016,espumoso
